robot_x,robot_y,robot_z,aurora_x,aurora_y,aurora_z,diff
-50.0,-240.0,200.0,-9.82,-1.6500000000000001,-216.37,2.2134118459970367
-50.0,-240.0,180.0,-10.11,-1.92,-216.53,2.3027270789218584
-50.0,-240.0,160.0,-10.51,-2.73,-216.0,1.8458363957837631
-50.0,-240.0,140.0,-11.1,-4.42,-213.97,2.3672203108287158
-50.0,-240.0,120.0,-12.26,-7.13,-210.72,6.376523504230187
-50.0,-240.0,100.0,nan,nan,nan,nan
-50.0,-240.0,80.0,nan,nan,nan,nan
-50.0,-240.0,60.0,nan,nan,nan,nan
-50.0,-240.0,40.0,nan,nan,nan,nan
-50.0,-260.0,200.0,-10.11,-1.53,-216.39000000000001,2.2934018400620624
-50.0,-260.0,180.0,-10.64,-1.9000000000000001,-216.46,2.3631064301042444
-50.0,-260.0,160.0,-11.32,-3.0,-215.58,2.031677139705034
-50.0,-260.0,140.0,-12.34,-5.41,-212.99,4.095577126608652
-50.0,-260.0,120.0,-14.1,-9.26,-209.25,9.494649651250963
-50.0,-260.0,100.0,nan,nan,nan,nan
-50.0,-260.0,80.0,nan,nan,nan,nan
-50.0,-260.0,60.0,nan,nan,nan,nan
-50.0,-260.0,40.0,nan,nan,nan,nan
-50.0,-280.0,200.0,-10.55,-1.41,-215.93,2.0535656794950623
-50.0,-280.0,180.0,-11.42,-1.6500000000000001,-215.70000000000002,2.2529207709105177
-50.0,-280.0,160.0,-12.620000000000001,-2.77,-214.41,2.8010555153370316
-50.0,-280.0,140.0,-14.18,-5.42,-211.55,5.939418490054388
-50.0,-280.0,120.0,-16.04,-9.83,-208.0,11.520998741428627
-50.0,-280.0,100.0,nan,nan,nan,nan
-50.0,-280.0,80.0,nan,nan,nan,nan
-50.0,-280.0,60.0,nan,nan,nan,nan
-50.0,-280.0,40.0,-7.82,-10.43,-215.3,8.29750637239888
-50.0,-300.0,200.0,-11.120000000000001,-1.24,-215.18,1.963515215118032
-50.0,-300.0,180.0,-12.58,-1.2,-214.49,3.014918241014174
-50.0,-300.0,160.0,-14.51,-1.8,-212.79,4.9513464835335474
-50.0,-300.0,140.0,-16.8,-3.8000000000000003,-209.87,8.36305518336451
-50.0,-300.0,120.0,-18.52,-7.57,-207.0,12.448561844646957
-50.0,-300.0,100.0,nan,nan,nan,nan
-50.0,-300.0,80.0,nan,nan,nan,nan
-50.0,-300.0,60.0,nan,nan,nan,nan
-50.0,-300.0,40.0,10.58,-15.26,-220.97,25.013232737892956
-50.0,-320.0,200.0,-11.67,-1.22,-214.47,2.207856879419497
-50.0,-320.0,180.0,-13.84,-0.72,-213.47,4.434831676625395
-50.0,-320.0,160.0,-16.77,-0.44,-211.43,7.765358459208433
-50.0,-320.0,140.0,-20.16,-0.89,-208.73000000000002,11.831601413164654
-50.0,-320.0,120.0,-22.2,-2.75,-206.53,14.604735944206592
-50.0,-320.0,100.0,-19.78,-5.95,-206.22,13.283323831029646
-50.0,-320.0,80.0,-11.48,-10.03,-208.76,9.537973159953854
