robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
100.0,-25.0,-275.0,-0.0,20.0,180.0,30.51,-22.72,-177.84,-0.817,0.538,-0.157,0.134,0.037
100.0,-25.0,-325.0,-0.0,20.0,180.0,28.4,-24.71,-129.51,-0.818,0.542,-0.145,0.124,0.021
100.0,25.0,-275.0,-0.0,20.0,180.0,29.97,25.45,-177.59,-0.813,0.547,-0.158,0.123,0.116
100.0,25.0,-325.0,-0.0,20.0,180.0,28.06,24.34,-129.0,-0.814,0.55,-0.145,0.119,0.09
150.0,-25.0,-275.0,-0.0,20.0,180.0,-18.53,-23.56,-180.44,-0.822,0.532,-0.158,0.128,0.066
150.0,-25.0,-325.0,-0.0,20.0,180.0,-20.53,-24.85,-131.15,-0.819,0.541,-0.146,0.125,0.038
150.0,25.0,-275.0,-0.0,20.0,180.0,-18.12,25.22,-179.59,-0.804,0.558,-0.159,0.129,0.168
150.0,25.0,-325.0,-0.0,20.0,180.0,-20.81,23.69,-130.02,-0.806,0.56,-0.148,0.12,0.215
