robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
100.0,-25.0,-275.0,60.792,0.0,180.0,24.39,-23.41,-179.29,-0.704,0.476,0.3,0.433,0.035
100.0,-25.0,-325.0,60.792,0.0,180.0,24.41,-25.01,-129.85,-0.697,0.483,0.312,0.427,0.182
100.0,25.0,-275.0,60.792,0.0,180.0,26.08,25.18,-178.88,-0.719,0.456,0.28,0.444,0.249
100.0,25.0,-325.0,60.792,0.0,180.0,26.31,23.5,-129.45,-0.718,0.456,0.284,0.442,0.217
150.0,-25.0,-275.0,60.792,0.0,180.0,-23.62,-24.71,-179.58,-0.71,0.472,0.29,0.435,0.093
150.0,-25.0,-325.0,60.792,0.0,180.0,-23.6,-26.72,-130.11,-0.707,0.474,0.295,0.433,0.044
150.0,25.0,-275.0,60.792,0.0,180.0,-23.39,24.07,-179.78,-0.715,0.465,0.283,0.438,0.197
150.0,25.0,-325.0,60.792,0.0,180.0,-22.88,22.68,-130.54,-0.714,0.465,0.287,0.438,0.167
