robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
75.0,-50.0,-250.0,0.0,0.0,180.0,52.12,-63.39,-205.26,-0.841,0.541,0.002,0.018,0.186
75.0,-50.0,-350.0,0.0,0.0,180.0,51.94,-66.67,-107.17,-0.841,0.541,0.012,0.021,0.138
75.0,50.0,-250.0,0.0,-0.0,180.0,52.48,34.52,-204.9,-0.837,0.547,-0.001,0.016,0.066
75.0,50.0,-350.0,0.0,-0.0,180.0,52.53,31.58,-105.21,-0.83,0.557,0.007,0.02,0.068
175.0,-50.0,-250.0,0.0,-0.0,180.0,-45.89,-65.59,-206.69,-0.846,0.533,-0.006,0.017,0.158
175.0,-50.0,-350.0,0.0,-0.0,180.0,-46.61,-68.48,-107.84,-0.843,0.538,0.005,0.019,0.121
175.0,50.0,-250.0,0.0,0.0,180.0,-44.37,32.93,-206.47,-0.834,0.551,-0.011,0.02,0.098
175.0,50.0,-350.0,0.0,0.0,180.0,-46.63,30.49,-106.59,-0.832,0.554,0.005,0.018,0.117
