robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
95.0,-30.0,-290.0,0.0,0.0,180.0,32.77,-29.86,-164.03,-0.837,0.547,0.001,0.02,0.05
95.0,-30.0,-310.0,0.0,0.0,180.0,32.59,-30.57,-144.16,-0.836,0.548,0.002,0.02,0.034
95.0,-30.0,-330.0,0.0,0.0,180.0,32.4,-31.21,-124.55,-0.837,0.547,0.005,0.02,0.032
95.0,-30.0,-350.0,0.0,0.0,180.0,32.1,-32.11,-104.72,-0.838,0.546,0.008,0.019,0.044
95.0,-10.0,-250.0,0.0,0.0,180.0,32.7,-9.25,-203.35,-0.838,0.546,-0.002,0.017,0.069
95.0,-10.0,-270.0,0.0,0.0,180.0,32.73,-9.64,-183.53,-0.837,0.547,-0.001,0.019,0.058
95.0,-10.0,-290.0,0.0,0.0,180.0,32.67,-10.24,-163.97,-0.836,0.548,0.001,0.019,0.051
95.0,-10.0,-310.0,0.0,0.0,180.0,32.47,-10.84,-144.07,-0.836,0.549,0.002,0.02,0.042
95.0,-10.0,-330.0,0.0,0.0,180.0,32.28,-11.64,-124.29,-0.835,0.549,0.004,0.02,0.034
95.0,-10.0,-350.0,0.0,0.0,180.0,32.24,-12.14,-104.61,-0.837,0.547,0.008,0.019,0.043
95.0,10.0,-250.0,0.0,0.0,180.0,32.59,10.25,-203.35,-0.837,0.546,-0.003,0.015,0.07
95.0,10.0,-270.0,0.0,0.0,180.0,32.64,9.96,-183.46,-0.836,0.548,-0.002,0.016,0.064
95.0,10.0,-290.0,0.0,0.0,180.0,32.58,9.43,-163.83,-0.835,0.55,0.0,0.017,0.058
95.0,10.0,-310.0,0.0,0.0,180.0,32.4,9.09,-143.88,-0.834,0.551,0.002,0.019,0.057
95.0,10.0,-330.0,0.0,0.0,180.0,32.26,8.17,-124.02,-0.832,0.554,0.003,0.019,0.05
95.0,10.0,-350.0,0.0,0.0,180.0,32.31,7.47,-104.35,-0.831,0.555,0.006,0.018,0.047
95.0,30.0,-250.0,0.0,0.0,180.0,32.43,29.65,-203.36,-0.837,0.547,-0.003,0.014,0.069
95.0,30.0,-270.0,0.0,0.0,180.0,32.52,29.34,-183.44,-0.835,0.549,-0.002,0.015,0.068
95.0,30.0,-290.0,0.0,0.0,180.0,32.53,28.99,-163.67,-0.834,0.551,0.0,0.016,0.068
95.0,30.0,-310.0,0.0,0.0,180.0,32.39,28.76,-143.68,-0.832,0.554,0.002,0.018,0.072
95.0,30.0,-330.0,0.0,0.0,180.0,32.28,28.12,-123.85,-0.831,0.556,0.004,0.018,0.07
95.0,30.0,-350.0,0.0,0.0,180.0,32.14,27.04,-103.92,-0.829,0.558,0.006,0.019,0.061
95.0,50.0,-250.0,0.0,0.0,180.0,32.47,49.23,-203.51,-0.837,0.547,-0.002,0.013,0.07
95.0,50.0,-270.0,0.0,0.0,180.0,32.52,48.99,-183.65,-0.836,0.549,-0.001,0.014,0.07
95.0,50.0,-290.0,0.0,0.0,180.0,32.36,48.48,-163.55,-0.834,0.551,0.0,0.016,0.071
95.0,50.0,-310.0,0.0,0.0,180.0,32.39,48.12,-143.59,-0.832,0.555,0.002,0.017,0.079
95.0,50.0,-330.0,0.0,0.0,180.0,32.41,47.54,-123.55,-0.83,0.557,0.004,0.018,0.08
95.0,50.0,-350.0,0.0,0.0,180.0,32.17,46.65,-103.7,-0.831,0.556,0.005,0.016,0.073
115.0,-50.0,-250.0,0.0,0.0,180.0,13.24,-48.9,-203.58,-0.84,0.542,-0.004,0.019,0.098
115.0,-50.0,-270.0,0.0,0.0,180.0,13.41,-49.6,-184.04,-0.838,0.546,-0.003,0.019,0.072
115.0,-50.0,-290.0,0.0,0.0,180.0,13.35,-50.09,-164.3,-0.836,0.549,-0.002,0.019,0.047
115.0,-50.0,-310.0,0.0,0.0,180.0,13.33,-50.88,-144.86,-0.833,0.552,-0.001,0.02,0.027
115.0,-50.0,-330.0,0.0,0.0,180.0,13.09,-51.44,-124.83,-0.832,0.555,0.001,0.021,0.035
115.0,-50.0,-350.0,0.0,0.0,180.0,12.81,-52.36,-105.19,-0.832,0.555,0.004,0.02,0.033
115.0,-30.0,-250.0,0.0,0.0,180.0,13.29,-29.26,-203.52,-0.839,0.544,-0.005,0.018,0.073
115.0,-30.0,-270.0,0.0,0.0,180.0,13.26,-29.62,-184.0,-0.837,0.547,-0.003,0.02,0.054
115.0,-30.0,-290.0,0.0,0.0,180.0,13.16,-30.34,-164.29,-0.836,0.549,-0.001,0.02,0.037
115.0,-30.0,-310.0,0.0,0.0,180.0,13.01,-31.06,-144.76,-0.834,0.551,0.001,0.02,0.018
115.0,-30.0,-330.0,0.0,0.0,180.0,12.88,-31.54,-124.8,-0.834,0.551,0.003,0.02,0.014
115.0,-30.0,-350.0,0.0,0.0,180.0,12.62,-32.44,-105.01,-0.834,0.552,0.005,0.019,0.021
115.0,-10.0,-250.0,0.0,0.0,180.0,13.25,-9.59,-203.38,-0.838,0.545,-0.005,0.018,0.07
115.0,-10.0,-270.0,0.0,0.0,180.0,13.23,-9.93,-183.98,-0.837,0.547,-0.002,0.019,0.057
