on,-1.96,-23.91,-237.93,26.786364068309087
off,-4.97,-21.73,-242.20000000000002,24.823494919128542
on,-4.5600000000000005,-20.45,-238.98000000000002,23.304475964930006
off,-5.03,-21.740000000000002,-242.26,24.809139444970675
on,-4.5,-20.41,-239.0,23.34401422206558
off,-4.79,-22.17,-241.64000000000001,24.923312380179336
on,-4.49,-20.46,-238.8,23.30692171866547
off,-4.93,-21.7,-242.33,24.898933712109045
on,-4.5200000000000005,-20.42,-239.04,23.3452629027818
off,-4.76,-22.150000000000002,-241.68,24.953929550273248
on,-4.49,-20.48,-238.88,23.34227495339732
off,-4.93,-21.78,-242.35,24.944636698096048
on,-4.49,-20.44,-238.92000000000002,23.338316134631484
off,-4.74,-22.22,-241.74,25.02811419184434
on,-4.51,-20.47,-238.93,23.33799905733138
off,-4.68,-22.26,-241.77,25.106094877539206
on,-4.5,-20.52,-238.82,23.331363012048826
off,-4.72,-22.27,-241.8,25.092903379242514
on,-4.55,-20.55,-238.75,23.27955755593306
off,-4.62,-22.240000000000002,-241.87,25.185527590265014
