on,-3.2600000000000002,-22.34,-238.15,24.99508751735029
off,-5.17,-21.76,-241.97,24.581547957767025
on,-4.5200000000000005,-20.41,-238.95000000000002,23.310360357574922
off,-5.19,-21.75,-242.0,24.574903865529162
on,-4.54,-20.48,-238.76,23.260552443998403
off,-5.04,-21.72,-242.01,24.680461908157227
on,-4.54,-20.48,-238.82,23.280457469731992
off,-5.14,-21.740000000000002,-242.04,24.626345648512284
on,-4.6000000000000005,-20.45,-238.95000000000002,23.260939361943237
off,-5.05,-21.78,-242.03,24.709425327190434
on,-4.53,-20.45,-238.97,23.326118408342182
off,-5.0200000000000005,-22.14,-241.47,24.659943227834084
on,-4.61,-20.53,-238.76,23.22395961071238
off,-5.09,-21.830000000000002,-242.11,24.7376191255343
on,-4.51,-20.41,-238.98000000000002,23.328872668862516
off,-5.05,-21.77,-242.13,24.74931514203979
on,-4.58,-20.5,-238.9,23.28256214423147
off,-4.9,-22.17,-241.53,24.79201686027178
on,-4.54,-20.54,-238.76,23.28682245391157
off,-5.07,-21.830000000000002,-242.19,24.788695003973086
