on,-4.41,-20.54,-238.82,21.853288082117064
off,-5.2,-22.14,-241.16,22.723760692279782
on,-4.43,-20.46,-238.66,21.75484773561975
off,-5.16,-22.080000000000002,-241.19,22.74000439753695
on,-4.37,-20.47,-238.61,21.795683058807768
off,-5.19,-22.14,-241.21,22.75170982585704
on,-4.5600000000000005,-20.48,-238.82,21.699937787929247
off,-5.16,-22.150000000000002,-241.24,22.792121445797886
on,-4.51,-20.490000000000002,-238.72,21.716208232562145
off,-5.11,-22.14,-241.23000000000002,22.82317024429341
on,-4.54,-20.52,-238.74,21.708682594759175
off,-5.11,-22.12,-241.27,22.830091984045968
on,-4.51,-20.55,-238.64000000000001,21.716291119802204
off,-5.09,-22.14,-241.27,22.85509789959343
on,-4.43,-20.5,-238.64000000000001,21.764967263931275
off,-5.05,-22.16,-241.28,22.89999563318735
on,-4.48,-20.51,-238.77,21.765479549047384
off,-5.07,-22.21,-241.3,22.915088915384988
on,-4.48,-20.42,-238.76,21.726088004976866
off,-5.07,-22.2,-241.31,22.914525960621567
