on,-3.25,-22.330000000000002,-238.09,23.412189133013594
off,-5.32,-22.04,-241.02,22.526786277673963
on,-4.44,-20.42,-238.75,21.75753202916176
off,-5.36,-22.04,-241.0,22.487074064893363
on,-4.47,-20.5,-238.71,21.751678096183753
off,-5.29,-22.07,-241.01,22.56045655566393
on,-4.51,-20.46,-238.73000000000002,21.70713016499418
off,-5.22,-22.06,-241.05,22.627368384326093
on,-4.53,-20.490000000000002,-238.70000000000002,21.692867491412933
off,-5.2700000000000005,-22.12,-241.03,22.60729749439326
on,-4.49,-20.45,-238.69,21.708122903650597
off,-5.32,-22.09,-241.1,22.581638558793728
on,-4.47,-20.490000000000002,-238.65,21.729413245644714
off,-5.28,-22.1,-241.14000000000001,22.63394132713081
on,-4.42,-20.45,-238.69,21.768548412790405
off,-5.2700000000000005,-22.09,-241.14000000000001,22.63727236219064
on,-4.44,-20.53,-238.66,21.77453558632192
off,-5.23,-22.13,-241.13,22.683390399144475
on,-4.43,-20.490000000000002,-238.69,21.776046473131892
off,-5.24,-22.12,-241.18,22.690863800217034
