300.0,50.0,180.0,-47.99,42.04,-158.29,-49.836,44.331,-156.334
300.0,50.0,170.0,-37.99,41.48,-158.7,-39.838,44.455,-156.519
300.0,50.0,160.0,-28.0,41.73,-158.75,-29.841,44.578,-156.703
300.0,50.0,150.0,-18.33,42.14,-159.07,-19.843,44.702,-156.888
300.0,50.0,140.0,-8.37,41.92,-159.02,-9.846,44.825,-157.072
300.0,50.0,130.0,1.26,42.28,-159.28,0.152,44.949,-157.257
300.0,50.0,120.0,11.23,42.7,-159.47,10.15,45.072,-157.441
300.0,50.0,110.0,21.05,42.56,-159.61,20.147,45.196,-157.626
300.0,50.0,100.0,30.83,42.74,-160.06,30.145,45.319,-157.811
300.0,50.0,90.0,40.66,43.18,-160.08,40.142,45.443,-157.995
300.0,40.0,180.0,-47.78,32.24,-158.32,-49.715,34.333,-156.471
300.0,40.0,170.0,-37.93,31.78,-158.69,-39.717,34.456,-156.656
300.0,40.0,160.0,-28.02,32.06,-158.66,-29.72,34.58,-156.84
300.0,40.0,150.0,-18.25,32.44,-159.06,-19.722,34.703,-157.025
300.0,40.0,140.0,-8.38,32.24,-159.05,-9.724,34.827,-157.209
300.0,40.0,130.0,1.3,32.58,-159.31,0.273,34.95,-157.394
300.0,40.0,120.0,11.24,32.93,-159.49,10.271,35.074,-157.578
300.0,40.0,110.0,20.96,32.78,-159.62,20.268,35.198,-157.763
300.0,40.0,100.0,30.81,33.08,-160.09,30.266,35.321,-157.948
300.0,40.0,90.0,40.71,33.29,-160.1,40.263,35.445,-158.132
300.0,30.0,180.0,-47.62,22.54,-158.31,-49.594,24.334,-156.608
300.0,30.0,170.0,-37.76,22.0,-158.64,-39.596,24.458,-156.793
300.0,30.0,160.0,-28.06,22.55,-158.59,-29.598,24.581,-156.977
300.0,30.0,150.0,-18.16,22.44,-159.01,-19.601,24.705,-157.162
300.0,30.0,140.0,-8.5,22.66,-158.92,-9.603,24.829,-157.346
300.0,30.0,130.0,1.36,23.04,-159.42,0.394,24.952,-157.531
300.0,30.0,120.0,11.24,22.86,-159.42,10.392,25.076,-157.715
