312.5,12.5,150.0,-20.21,6.24,-123.71,0.127
312.5,12.5,137.5,-8.38,6.18,-123.08,0.114
312.5,12.5,125.0,4.05,6.6,-122.78,0.1
312.5,-0.0,175.0,-45.06,-6.15,-124.07,0.135
312.5,-0.0,162.5,-32.87,-6.25,-123.55,0.145
312.5,-0.0,150.0,-20.51,-5.91,-123.39,0.131
312.5,-0.0,137.5,-8.28,-6.1,-122.79,0.113
312.5,-0.0,125.0,4.08,-5.77,-122.42,0.099
300.0,50.0,175.0,-45.14,41.89,-138.35,0.142
300.0,50.0,162.5,-32.56,41.7,-137.81,0.18
300.0,50.0,150.0,-20.25,42.12,-137.51,0.184
300.0,50.0,137.5,-7.84,42.26,-136.9,0.168
300.0,50.0,125.0,4.4,42.66,-136.73,0.153
300.0,37.5,175.0,-44.93,29.72,-137.82,0.14
300.0,37.5,162.5,-32.68,29.66,-137.19,0.169
300.0,37.5,150.0,-20.14,30.07,-137.0,0.166
300.0,37.5,137.5,-7.9,30.35,-136.38,0.154
300.0,37.5,125.0,4.26,30.61,-136.11,0.14
300.0,25.0,175.0,-44.75,17.83,-137.32,0.138
300.0,25.0,162.5,-32.63,17.65,-136.66,0.152
300.0,25.0,150.0,-20.06,18.11,-136.55,0.15
300.0,25.0,137.5,-8.03,18.06,-135.86,0.139
300.0,25.0,125.0,4.33,18.4,-135.68,0.127
300.0,12.5,175.0,-44.58,5.87,-136.93,0.145
300.0,12.5,162.5,-32.61,5.76,-136.26,0.147
300.0,12.5,150.0,-20.03,6.19,-136.2,0.145
300.0,12.5,137.5,-8.01,6.11,-135.46,0.133
300.0,12.5,125.0,4.39,6.45,-135.24,0.121
300.0,-0.0,175.0,-44.53,-6.24,-136.62,0.155
300.0,-0.0,162.5,-32.41,-6.35,-136.0,0.161
300.0,-0.0,150.0,-19.96,-6.26,-135.88,0.15
300.0,-0.0,137.5,-7.98,-5.96,-135.14,0.134
300.0,-0.0,125.0,4.5,-5.96,-134.93,0.119
