robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
100.0,-25.0,-275.0,-20.307,0.0,180.0,27.14,-25.06,-179.03,0.824,-0.543,0.099,0.131,0.024
100.0,-25.0,-325.0,-20.307,0.0,180.0,27.2,-26.41,-129.49,0.823,-0.545,0.095,0.128,0.017
100.0,25.0,-275.0,-20.307,0.0,180.0,26.97,24.56,-178.86,0.823,-0.544,0.097,0.13,0.034
100.0,25.0,-325.0,-20.307,0.0,180.0,27.12,23.17,-129.01,0.821,-0.548,0.095,0.128,0.055
150.0,-25.0,-275.0,-20.307,0.0,180.0,-22.06,-25.3,-179.58,0.823,-0.544,0.099,0.13,0.026
150.0,-25.0,-325.0,-20.307,0.0,180.0,-22.58,-26.94,-129.76,0.826,-0.54,0.093,0.13,0.041
150.0,25.0,-275.0,-20.307,0.0,180.0,-22.39,23.97,-179.31,0.822,-0.546,0.097,0.13,0.025
150.0,25.0,-325.0,-20.307,0.0,180.0,-22.76,22.5,-129.53,0.822,-0.546,0.093,0.13,0.058
