robot_x,robot_y,robot_z,robot_rx,robot_ry,robot_rz,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
100.0,-25.0,-275.0,-0.0,-0.0,180.0,3.0,-30.46,-136.5,-0.626,0.78,0.002,0.009,0.072
100.0,-25.0,-325.0,-0.0,-0.0,180.0,3.15,-30.72,-86.57,-0.634,0.774,0.007,0.007,0.052
100.0,25.0,-275.0,-0.0,-0.0,180.0,2.88,19.2,-137.11,-0.626,0.78,0.003,0.01,0.098
100.0,25.0,-325.0,-0.0,-0.0,180.0,3.18,18.73,-87.31,-0.631,0.775,0.006,0.008,0.068
150.0,-25.0,-275.0,-0.0,-0.0,180.0,-46.04,-30.39,-136.77,-0.637,0.771,0.003,0.014,0.025
150.0,-25.0,-325.0,-0.0,-0.0,180.0,-46.46,-31.18,-86.34,-0.643,0.766,0.007,0.008,0.12
150.0,25.0,-275.0,-0.0,-0.0,180.0,-45.85,18.85,-137.24,-0.621,0.783,0.001,0.014,0.19
150.0,25.0,-325.0,-0.0,-0.0,180.0,-46.36,18.28,-87.02,-0.632,0.775,0.006,0.007,0.1
