robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
287.5,12.5,125.0,-180.0,-0.0,-0.0,1.65,18.23,-144.16,-0.821,0.571,-0.003,0.011,0.071
287.5,12.5,137.5,-180.0,0.0,-0.0,-10.64,17.98,-144.1,-0.822,0.57,-0.004,0.011,0.081
287.5,12.5,150.0,-180.0,0.0,-0.0,-22.85,17.94,-144.45,-0.823,0.568,-0.004,0.011,0.094
287.5,25.0,100.0,-180.0,-0.0,-0.0,26.33,30.7,-143.74,-0.82,0.573,-0.003,0.011,0.073
287.5,25.0,112.5,-180.0,-0.0,-0.0,14.14,30.73,-144.11,-0.82,0.572,-0.002,0.012,0.075
287.5,25.0,125.0,-180.0,-0.0,-0.0,1.64,30.34,-144.27,-0.82,0.572,-0.003,0.011,0.081
287.5,25.0,137.5,-180.0,0.0,-0.0,-10.66,30.3,-144.18,-0.821,0.57,-0.004,0.01,0.091
287.5,25.0,150.0,-180.0,-0.0,-0.0,-22.88,29.94,-144.54,-0.821,0.57,-0.004,0.01,0.104
300.0,-25.0,100.0,-180.0,0.0,-0.0,26.6,-18.68,-131.26,-0.822,0.57,-0.002,0.012,0.025
300.0,-25.0,112.5,-180.0,0.0,-0.0,14.33,-18.64,-131.49,-0.822,0.57,-0.001,0.013,0.024
300.0,-25.0,125.0,-180.0,-0.0,-0.0,1.73,-19.0,-131.52,-0.822,0.57,-0.002,0.011,0.03
300.0,-25.0,137.5,-180.0,0.0,-0.0,-10.66,-19.07,-131.45,-0.823,0.568,-0.002,0.012,0.04
300.0,-25.0,150.0,-180.0,0.0,-0.0,-22.86,-19.11,-131.76,-0.825,0.564,-0.002,0.013,0.052
300.0,-12.5,100.0,-180.0,-0.0,-0.0,26.48,-6.43,-131.3,-0.821,0.571,-0.001,0.013,0.035
300.0,-12.5,112.5,-180.0,0.0,-0.0,14.32,-6.31,-131.67,-0.821,0.57,-0.001,0.012,0.036
300.0,-12.5,125.0,-180.0,0.0,-0.0,1.63,-6.71,-131.61,-0.821,0.57,-0.002,0.012,0.042
300.0,-12.5,137.5,-180.0,-0.0,-0.0,-10.76,-6.83,-131.54,-0.823,0.568,-0.002,0.011,0.052
300.0,-12.5,150.0,-180.0,-0.0,-0.0,-23.0,-6.86,-131.82,-0.825,0.565,-0.002,0.012,0.064
300.0,-0.0,100.0,-180.0,0.0,-0.0,26.42,5.95,-131.31,-0.82,0.572,-0.001,0.013,0.05
300.0,-0.0,112.5,-180.0,-0.0,-0.0,14.24,5.85,-131.76,-0.82,0.572,-0.001,0.011,0.051
