robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
250.0,-10.0,125.0,-180.0,-0.0,-0.0,2.8,-15.77,-192.97,0.521,0.852,-0.006,0.048,0.112
250.0,-10.0,135.0,-180.0,0.0,-0.0,-6.85,-15.83,-193.09,0.519,0.853,-0.005,0.048,0.12
250.0,-10.0,145.0,-180.0,-0.0,-0.0,-16.64,-16.1,-192.97,0.518,0.854,-0.004,0.05,0.13
250.0,-10.0,155.0,-180.0,-0.0,-0.0,-26.18,-16.04,-193.47,0.514,0.856,-0.005,0.05,0.144
250.0,-10.0,165.0,-180.0,0.0,-0.0,-36.04,-16.24,-193.57,0.51,0.858,-0.004,0.051,0.159
250.0,-10.0,175.0,-180.0,0.0,-0.0,-45.79,-16.49,-193.94,0.505,0.862,-0.005,0.051,0.177
250.0,-0.0,75.0,-180.0,0.0,-0.0,51.21,-5.44,-192.62,0.522,0.852,-0.008,0.044,0.102
250.0,-0.0,85.0,-180.0,-0.0,-0.0,41.57,-5.52,-193.01,0.522,0.852,-0.009,0.045,0.103
250.0,-0.0,95.0,-180.0,0.0,-0.0,31.81,-5.74,-192.96,0.523,0.851,-0.008,0.046,0.105
250.0,-0.0,105.0,-180.0,-0.0,-0.0,22.1,-5.66,-193.07,0.522,0.852,-0.006,0.046,0.107
250.0,-0.0,115.0,-180.0,0.0,-0.0,12.34,-5.96,-193.11,0.522,0.851,-0.006,0.047,0.111
250.0,-0.0,125.0,-180.0,-0.0,-0.0,2.79,-5.98,-193.31,0.522,0.852,-0.006,0.047,0.116
250.0,-0.0,135.0,-180.0,0.0,-0.0,-6.89,-6.07,-193.47,0.521,0.852,-0.006,0.048,0.125
250.0,-0.0,145.0,-180.0,0.0,-0.0,-16.68,-6.31,-193.36,0.52,0.852,-0.006,0.05,0.134
250.0,-0.0,155.0,-180.0,-0.0,-0.0,-26.19,-6.26,-193.81,0.518,0.854,-0.004,0.05,0.144
250.0,-0.0,165.0,-180.0,-0.0,-0.0,-36.0,-6.67,-193.9,0.515,0.855,-0.004,0.051,0.154
250.0,-0.0,175.0,-180.0,-0.0,-0.0,-45.69,-6.56,-194.31,0.511,0.858,-0.005,0.051,0.164
250.0,10.0,75.0,-180.0,-0.0,-0.0,51.19,4.34,-193.0,0.522,0.852,-0.009,0.045,0.104
250.0,10.0,85.0,-180.0,0.0,-0.0,41.57,4.35,-193.45,0.522,0.852,-0.009,0.045,0.105
250.0,10.0,95.0,-180.0,0.0,-0.0,31.74,4.09,-193.34,0.523,0.851,-0.009,0.046,0.106
250.0,10.0,105.0,-180.0,-0.0,-0.0,22.07,4.11,-193.49,0.522,0.851,-0.008,0.047,0.111
250.0,10.0,115.0,-180.0,-0.0,-0.0,12.3,3.82,-193.5,0.523,0.851,-0.008,0.048,0.116
250.0,10.0,125.0,-180.0,0.0,-0.0,2.76,3.78,-193.69,0.522,0.851,-0.007,0.048,0.121
250.0,10.0,135.0,-180.0,0.0,-0.0,-6.91,3.63,-193.8,0.522,0.852,-0.007,0.049,0.129
250.0,10.0,145.0,-180.0,0.0,-0.0,-16.69,3.45,-193.66,0.522,0.852,-0.007,0.051,0.14
250.0,10.0,155.0,-180.0,-0.0,-0.0,-26.18,3.52,-194.18,0.52,0.852,-0.006,0.051,0.146
250.0,10.0,165.0,-180.0,0.0,-0.0,-35.97,3.26,-194.22,0.52,0.852,-0.004,0.052,0.151
250.0,10.0,175.0,-180.0,0.0,-0.0,-45.66,3.09,-194.63,0.518,0.854,-0.006,0.052,0.146
250.0,20.0,75.0,-180.0,0.0,-0.0,51.19,14.01,-193.55,0.522,0.852,-0.011,0.045,0.107
250.0,20.0,85.0,-180.0,-0.0,-0.0,41.53,13.96,-193.89,0.522,0.852,-0.009,0.045,0.107
250.0,20.0,95.0,-180.0,0.0,-0.0,31.71,13.76,-193.72,0.522,0.851,-0.009,0.046,0.11
250.0,20.0,105.0,-180.0,0.0,-0.0,22.03,13.73,-193.86,0.522,0.851,-0.008,0.046,0.113
250.0,20.0,115.0,-180.0,-0.0,-0.0,12.32,13.5,-193.91,0.523,0.851,-0.008,0.047,0.119
250.0,20.0,125.0,-180.0,-0.0,-0.0,2.72,13.3,-194.06,0.523,0.851,-0.008,0.048,0.125
250.0,20.0,135.0,-180.0,0.0,-0.0,-7.01,13.07,-194.11,0.523,0.851,-0.008,0.049,0.132
250.0,20.0,145.0,-180.0,0.0,-0.0,-16.68,13.02,-194.06,0.523,0.851,-0.006,0.05,0.139
250.0,20.0,155.0,-180.0,-0.0,-0.0,-26.24,13.07,-194.49,0.523,0.85,-0.007,0.051,0.144
250.0,20.0,165.0,-180.0,0.0,-0.0,-35.99,12.75,-194.58,0.525,0.85,-0.006,0.053,0.141
250.0,20.0,175.0,-180.0,0.0,-0.0,-45.71,12.63,-194.99,0.524,0.85,-0.005,0.052,0.13
250.0,30.0,75.0,-180.0,0.0,-0.0,51.27,23.62,-194.12,0.522,0.852,-0.011,0.044,0.108
250.0,30.0,85.0,-180.0,-0.0,-0.0,41.52,23.59,-194.39,0.521,0.852,-0.011,0.045,0.11
250.0,30.0,95.0,-180.0,-0.0,-0.0,31.7,23.56,-194.25,0.522,0.852,-0.01,0.046,0.113
250.0,30.0,105.0,-180.0,0.0,-0.0,21.99,23.25,-194.3,0.522,0.851,-0.01,0.047,0.115
250.0,30.0,115.0,-180.0,0.0,-0.0,12.26,23.13,-194.32,0.523,0.851,-0.01,0.048,0.12
250.0,30.0,125.0,-180.0,0.0,-0.0,2.68,22.92,-194.53,0.523,0.851,-0.01,0.048,0.125
