robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
100.0,-25.0,-275.0,0.0,-20.0,180.0,27.55,-26.5,-179.48,0.819,-0.548,-0.146,0.086,0.085
100.0,-25.0,-325.0,0.0,-20.0,180.0,27.28,-27.59,-129.38,0.824,-0.54,-0.153,0.079,0.085
100.0,25.0,-275.0,0.0,-20.0,180.0,26.94,23.51,-179.51,0.818,-0.55,-0.149,0.084,0.05
100.0,25.0,-325.0,0.0,-20.0,180.0,27.05,21.7,-128.71,0.82,-0.545,-0.153,0.08,0.061
150.0,-25.0,-275.0,0.0,-20.0,180.0,-23.03,-27.03,-179.78,0.82,-0.546,-0.15,0.087,0.059
150.0,-25.0,-325.0,0.0,-20.0,180.0,-22.51,-28.5,-129.62,0.821,-0.544,-0.152,0.082,0.053
150.0,25.0,-275.0,0.0,-20.0,180.0,-23.72,23.13,-179.37,0.821,-0.543,-0.154,0.085,0.055
150.0,25.0,-325.0,0.0,-20.0,180.0,-23.02,21.01,-128.73,0.82,-0.544,-0.154,0.081,0.065
